,title,sponsers,texts
7037,Critical Access Hospital Relief Act of 2014,"[Sen. Inhofe, James M. [R-OK], Sen. Durbin, Richard [D-IL], Sen. Enzi, Michael B. [R-WY], Sen. Baldwin, Tammy [D-WI], Sen. Moran, Jerry [R-KS], Sen. Franken, Al [D-MN], Sen. Grassley, Chuck [R-IA], Sen. Barrasso, John [R-WY], Sen. Fischer, Deb [R-NE], Sen. Collins, Susan M. [R-ME], Sen. Johanns, Mike [R-NE], Sen. Klobuchar, Amy [D-MN], Sen. Hoeven, John [R-ND], Sen. Kirk, Mark Steven [R-IL], Sen. Heitkamp, Heidi [D-ND], Sen. Johnson, Tim [D-SD], Sen. King, Angus S. Jr. [I-ME], Sen. Cochran, Thad [R-MS], Sen. Donnelly, Joe [D-IN], Sen. Thune, John [R-SD], Sen. Wicker, Roger F. [R-MS], Sen. Coats, Daniel [R-IN], Sen. Merkley, Jeff [D-OR], Sen. Harkin, Tom [D-IA], Sen. Walsh, John E. [D-MT], Sen. Begich, Mark [D-AK], Sen. Murkowski, Lisa [R-AK], Sen. Cantwell, Maria [D-WA], Sen. Pryor, Mark L. [D-AR], Sen. Hagan, Kay [D-NC], Sen. Heinrich, Martin [D-NM], None, Sen. Roberts, Pat [R-KS]]",NA
7038,Solutions to Long-Term Unemployment Act,"[Sen. Thune, John [R-SD]]","Defines ""long-term unemployed individual"" as an individual who: (1) begins employment after enactment of this Act, and (2) has been unemployed for 27 weeks or longer."
7039,ITIN Reform Act of 2014,"[Sen. Cornyn, John [R-TX]]","Requires the Inspector General of the Department of the Treasury for Tax Administration to audit, on a biennial basis, the IRS program for issuance of ITINs pursuant to this Act and report to Congress on such audit."
7040,Blackfoot River Land Exchange Act of 2014,"[Sen. Crapo, Mike [R-ID], Sen. Risch, James E. [R-ID], None, Sen. Crapo, Mike [R-ID]]",Requires the non-Indian land to be held in trust for the Tribes. 
7041,"May 31, 1918 Act Repeal Act","[None, Sen. Crapo, Mike [R-ID]]",Gives the Shoshone-Bannock Tribes of the Fort Hall Indian Reservation the exclusive right of first refusal to purchase at fair market value any land set aside or apart under such Act and offered for sale.
7042,Clean Estuaries Act of 2014,"[Sen. Whitehouse, Sheldon [D-RI], Sen. Cardin, Benjamin L. [D-MD], Sen. Vitter, David [R-LA]]","Revises the purposes of management conferences convened with respect to estuaries. Requires a management conference's membership to include, among other entities, not-for-profit organizations."
7043,Stop IRS Overreach Act,"[Sen. Johanns, Mike [R-NE], Sen. Crapo, Mike [R-ID], Sen. Boozman, John [R-AR], Sen. Cornyn, John [R-TX], Sen. Thune, John [R-SD], Sen. Enzi, Michael B. [R-WY], None, Sen. Fischer, Deb [R-NE]]","Expresses the sense of Congress that: (1) any exceptions to such prohibition should identify the specific questions authorized, the class of taxpayers to whom such questions may be asked, and the circumstances under which such questions may be asked; and (2) if the IRS Commissioner determines that asking such questions would aid in the efficient administration of the tax laws, the Commissioner should submit a report to Congress that includes such questions in verbatim form and describes such class of taxpayers and the circumstances under which such questions would be asked. "
7044,Taxpayer Accountability Act,"[Sen. Fischer, Deb [R-NE], Sen. Inhofe, James M. [R-OK], Sen. Johanns, Mike [R-NE], Sen. Boozman, John [R-AR], Sen. Blunt, Roy [R-MO], Sen. Cornyn, John [R-TX], Sen. Thune, John [R-SD]]",NA
7045,American Royalties Too Act of 2014,"[None, Sen. Baldwin, Tammy [D-WI]]","Defines ""auction"" as a public sale of visual art to the highest bidder run by an entity that sold at least $1 million of works of visual art during the previous year."
7046,Access to Hearing Healthcare Act of 2014,"[Sen. Heinrich, Martin [D-NM], None, Sen. Brown, Sherrod [D-OH]]","Includes audiology services as medical services, as so redefined, under Medicare part B (Supplementary Medical Insurance)."
7047,Protecting Children from Electronic Cigarette Advertising Act of 2014,"[Sen. Boxer, Barbara [D-CA], Sen. Durbin, Richard [D-IL], Sen. Harkin, Tom [D-IA], Sen. Blumenthal, Richard [D-CT], Sen. Markey, Edward J. [D-MA], Sen. Brown, Sherrod [D-OH], Sen. Schumer, Charles E. [D-NY], Sen. Nelson, Bill [D-FL], Sen. Merkley, Jeff [D-OR], Sen. Wyden, Ron [D-OR]]","Defines ""electronic cigarette"" as a battery-operated product designed to: (1) deliver nicotine, flavor, or other chemicals; and (2) turn chemicals, such as nicotine, into an aerosol that is inhaled by the user. "
7048,Encouraging Trade and Investment from New Zealand Act,"[Sen. Hirono, Mazie K. [D-HI], Sen. Lee, Mike [R-UT], Sen. McCain, John [R-AZ], Sen. Rubio, Marco [R-FL], Sen. Schumer, Charles E. [D-NY], Sen. Murray, Patty [D-WA], Sen. Hatch, Orrin G. [R-UT], Sen. Flake, Jeff [R-AZ], Sen. Risch, James E. [R-ID], Sen. Murphy, Christopher S. [D-CT]]",NA
7049,Transparency in Assertion of Patents Act,"[Sen. McCaskill, Claire [D-MO], Sen. Rockefeller, John D., IV [D-WV], Sen. Walsh, John E. [D-MT]]","Requires such rules to establish disclosures that such written communications must contain, including:"
7050,A bill to amend the Internal Revenue Code of 1986 to increase the national limitation amount for qualified highway or surface freight transfer facility bonds.,"[Sen. Kirk, Mark Steven [R-IL]]",NA
7051,Highway Innovative Financing Act of 2014,"[None, Sen. Kirk, Mark Steven [R-IL]]","Amends the Transportation Equity Act for the 21st Century (TEA-21) to increase from 3 to 10 the number of IS highways, bridges, or tunnels where a state may collect tolls for the reconstruction and rehabilitation of Interstate System highway corridors."
7052,NA,"[Sen. Reed, Jack [D-RI], Sen. Shaheen, Jeanne [D-NH], None, Sen. Coons, Christopher A. [D-DE]]",Requires the Secretary of Energy (DOE) to make competitive grants to qualified tax-exempt charitable organizations for energy efficiency retrofit uses that include:
7053,A bill to direct the Architect of the Capitol to place a chair honoring American Prisoners of War/Missing in Action on the Capitol Grounds.,NA,NA
7054,Stop Child Abuse in Residential Programs for Teens Act of 2014,"[None, Sen. Murphy, Christopher S. [D-CT]]","Defines ""covered program"" as one operated by a public or private entity that with respect to one or more children unrelated to the program owner or operator: (1) provides a residential environment; and (2) operates with a focus on serving children with emotional, behavioral, or mental health problems or disorders, or problems with alcohol or substance abuse."
7055,Corps of Engineers Cooperative Joint Management Restoration Act,"[Sen. McCaskill, Claire [D-MO], Sen. Pryor, Mark L. [D-AR], Sen. Wicker, Roger F. [R-MS], None, Sen. Boozman, John [R-AR]]","Permits such an entity to retain up to 100% of the fees collected and use them for operation, maintenance, and management at the recreation site where they were collected. "
7056,"A bill to designate the facility of the United States Postal Service located at 13127 Broadway Street in Alden, New York, as the ""Sergeant Brett E. Gornewicz Memorial Post Office"".","[Sen. Gillibrand, Kirsten E. [D-NY]]",NA
7057,"A bill to designate the facility of the United States Postal Service located at 198 Baker Street in Corning, New York, as the ""Specialist Ryan P. Jayne Post Office Building"".","[Sen. Gillibrand, Kirsten E. [D-NY]]",NA
7058,Fuel Grid Distribution Loan Pilot Program Act,"[None, Sen. Begich, Mark [D-AK]]","Makes such loans available only to utilities serving an area under the jurisdiction of a local government that has a population of not more than 50,000 people and energy prices higher than 200% of the national average for energy prices."
7059,Energy Efficient Heating and Cooling Tax Credit Act,"[None, Sen. Begich, Mark [D-AK]]",NA
7060,TEACH Act,"[Sen. Bennet, Michael F. [D-CO], Sen. Ayotte, Kelly [R-NH], Sen. Rubio, Marco [R-FL], Sen. Markey, Edward J. [D-MA], None, Sen. Warren, Elizabeth [D-MA]]","Requires those guidelines to: (1) include performance criteria to ensure that electronic instructional materials and related information technologies are accessible to the blind and disabled; (2) be consistent with the standards for technical and functional performance criteria issued pursuant to the Rehabilitation Act of 1973; and (3) be, to the extent practicable, consistent with national and international accessibility standards for those materials and technologies."
7061,Preventing Conflicts of Interest with Contractors Act,"[Sen. Begich, Mark [D-AK], None, Sen. Tester, Jon [D-MT]]","Defines, for purposes of this Act: "
7062,Constitutional Check and Balance Act,"[None, Sen. Paul, Rand [R-KY]]",NA
7063,SAFE Bridges Act of 2014,"[Sen. Shaheen, Jeanne [D-NH]]",Requires states to use apportioned program funds for projects to rehabilitate and replace such bridges.
7064,Four Rationers Repeal Act of 2014,"[Sen. Roberts, Pat [R-KS]]",Amends title XI of the Social Security Act to repeal provisions establishing the Center for Medicare and Medicaid Innovation.
7065,Alternative Fuel Vehicle Development Act,"[Sen. Inhofe, James M. [R-OK], Sen. Levin, Carl [D-MI]]","Removes the cap on credits under the Corporate Average Fuel Economy (CAFE) program for non-alcohol, dual-fueled automobiles. (The cap on CAFE credits limits the total increase of a manufacturer's average fuel economy attributable to dual-fueled automobiles.)"
7066,"A bill to amend title 18, United States Code, to prohibit the intentional discrimination of a person or organization by an employee of the Internal Revenue Service.","[Sen. Lee, Mike [R-UT], Sen. Inhofe, James M. [R-OK], None, Sen. Cruz, Ted [R-TX]]",NA
7067,A bill to prohibit the Department of the Treasury from assigning tax statuses to organizations based on their political beliefs and activities.,"[Sen. Lee, Mike [R-UT], Sen. Inhofe, James M. [R-OK], None, Sen. Cruz, Ted [R-TX]]","Defines ""promotion of social welfare,"" for purposes of the tax-exemption for social welfare organizations, to include: (1) any political activity in furtherance of American democracy, provided that such activities do not exceed 50% of the organization's total activities; (2) any activities for educating individuals on issues of public importance and on the behavior of public officials, including participation in ballot initiatives and referenda; and (3) certain activities described in the Federal Election Campaign Act of 1971 as not being expenditures for political purposes.                              "
7068,Handgun Trigger Safety Act of 2014,"[Sen. Menendez, Robert [D-NJ], None, Sen. Markey, Edward J. [D-MA]]","Prohibits any person: (1) beginning two years after enactment of this Act, from manufacturing in the United States a handgun that is not a personalized handgun; or (2) beginning three years after enactment of this Act, from distributing in commerce any handgun that is not a personalized handgun or a retrofitted personalized handgun. Exempts antique firearms and firearms distributed or sold to the Department of Defense (DOD). Provides for the enforcement of such prohibitions by the Consumer Product Safety Commission (CPSC) and by the states."
7069,Small Business Tax Credit Accessibility Act,"[Sen. Warner, Mark R. [D-VA], Sen. Shaheen, Jeanne [D-NH], Sen. Walsh, John E. [D-MT], Sen. Hirono, Mazie K. [D-HI], Sen. Landrieu, Mary L. [D-LA], Sen. Hagan, Kay [D-NC], Sen. Merkley, Jeff [D-OR], Sen. Kaine, Tim [D-VA], Sen. Heitkamp, Heidi [D-ND], Sen. Manchin, Joe, III [D-WV], Sen. King, Angus S. Jr. [I-ME], Sen. Udall, Tom [D-NM], Sen. Coons, Christopher A. [D-DE], None, Sen. Begich, Mark [D-AK]]","Amends the Internal Revenue Code, with respect to the small employer health care insurance tax credit, to: (1) revise the definition of ""eligible small employer"" to mean an employer with not more than 50 (currently, 25) full-time employees; (2) modify the phaseout formula for such credit to base such phaseout on number of employees and average annual wages; (3) allow a 35% credit in 2014 to small employers who purchase health care coverage outside of the Small Business Health Option Program (SHOP exchange); (4) extend from two to three consecutive taxable years the period during which an employer may claim such credit; (5) eliminate the requirement that employers contribute the same percentage of cost of each employee's health insurance and the cap limiting eligible employer contributions to average premiums paid to a state health insurance exchange; and (6) make such credit available to dependents of a small employer."
7070,Smarter Approach to Nuclear Expenditures Act,"[Sen. Sanders, Bernard [I-VT], None, Sen. Markey, Edward J. [D-MA]]","Prohibits the obligation or expenditure of funds authorized to be appropriated for FY2014 or thereafter for DOD or the Department of Energy (DOE): (1) to make the F-35 Joint Strike Fighter aircraft capable of carrying nuclear weapons; (2) until the Secretary of Defense and the Secretary of Energy jointly certify that the total cost of the B61 life extension program has been reduced to not more than $5 billion; (3) for the W78 life extension program; (4) for the mixed oxide fuel fabrication facility project; (5) to replace the chemistry and metallurgy research building at Los Alamos National Laboratory, Los Alamos, New Mexico; or (6) for the uranium processing facility at the Y-12 National Security Complex, Oak Ridge, Tennessee."
7071,Outer Continental Shelf Permit Processing Coordination Act,"[Sen. Begich, Mark [D-AK]]",NA
7072,A bill to prohibit the Department of the Treasury from assigning tax statuses to organizations based on their political beliefs and activities.,"[Sen. Cruz, Ted [R-TX], Sen. Lee, Mike [R-UT]]","Defines ""promotion of social welfare,"" for purposes of the tax-exemption for social welfare organizations, to include: (1) any political activity in furtherance of American democracy, provided that such activities do not exceed 50% of the organization's total activities; (2) any activities for educating individuals on issues of public importance and on the behavior of public officials, including participation in ballot initiatives and referenda; and (3) certain activities described in the Federal Election Campaign Act of 1971 as not being expenditures for political purposes. "
7073,"A bill to amend title 18, United States Code, to prohibit the intentional discrimination of a person or organization by an employee of the Internal Revenue Service.","[None, Sen. Cruz, Ted [R-TX]]",NA
7075,Military Commissary Sustainment Act,"[Sen. Warner, Mark R. [D-VA], Sen. Chambliss, Saxby [R-GA], Sen. Graham, Lindsey [R-SC], Sen. Casey, Robert P., Jr. [D-PA], Sen. Pryor, Mark L. [D-AR], Sen. Scott, Tim [R-SC], Sen. Schatz, Brian [D-HI], Sen. Isakson, Johnny [R-GA], Sen. Schumer, Charles E. [D-NY], Sen. Begich, Mark [D-AK]]",NA
7076,U.S. Merchant Marine Academy Board of Visitors Enhancement Act,"[Sen. Boozman, John [R-AR], Sen. Warner, Mark R. [D-VA], Sen. Wicker, Roger F. [R-MS], Sen. Collins, Susan M. [R-ME], None, Sen. Boozman, John [R-AR]]","Authorizes certain Board members to designate another individual to serve as a substitute member of the Board, on a temporary basis, to attend or participate in any activity the Board member is unable to attend or participate in."
7077,Emergency Unemployment Compensation Extension Act of 2014,"[None, Sen. Reed, Jack [D-RI]]"," Amends the Assistance for Unemployed Workers and Struggling Families Act to extend until June 30, 2014, requirements that federal payments to states cover 100% of EUC."
7078,Stop Motorcycle Checkpoint Funding Act,"[Sen. Johnson, Ron [R-WI], Sen. Manchin, Joe, III [D-WV], Sen. Collins, Susan M. [R-ME], None, Sen. Shaheen, Jeanne [D-NH]]",NA
7079,Alternative Qualifications for Federal Employment Act of 2014,"[Sen. Rubio, Marco [R-FL]]","Defines an ""individual with alternative educational experience"" as an individual who does not have a degree from an institution of higher education and has received training or education in one or more subject areas or occupational fields from an educational provider who does not meet specified requirements under the Higher Education Act of 1965. "
7080,National Fish Habitat Conservation Act,"[Sen. Cardin, Benjamin L. [D-MD], Sen. Crapo, Mike [R-ID], Sen. Begich, Mark [D-AK]]",Permits the Board to designate Fish Habitat Partnerships to coordinate implementation of the NFHAP at a regional level and develop and carry out fish habitat conservation projects. 
7081,Taxpayer Protection Act of 2014,"[Sen. Collins, Susan M. [R-ME]]",NA
7082,Two-Midnight Rule Coordination and Improvement Act of 2014,"[Sen. Brown, Sherrod [D-OH], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Schumer, Charles E. [D-NY], Sen. Mikulski, Barbara A. [D-MD], Sen. Klobuchar, Amy [D-MN], Sen. Casey, Robert P., Jr. [D-PA], Sen. Franken, Al [D-MN], Sen. Kirk, Mark Steven [R-IL], Sen. Heinrich, Martin [D-NM], Sen. Booker, Cory A. [D-NJ], Sen. Merkley, Jeff [D-OR], Sen. Stabenow, Debbie [D-MI], Sen. Baldwin, Tammy [D-WI], Sen. Walsh, John E. [D-MT], Sen. Cantwell, Maria [D-WA], Sen. Murray, Patty [D-WA], None, Sen. Menendez, Robert [D-NJ]]","(The two-midnight rule allows Medicare coverage of only hospital stays for which a physician admits to a hospital a beneficiary expected to require care that crosses two midnights, but generally denies coverage of care expected to require less than a two-midnight stay.)"
7083,American Job Creation and Strategic Alliances LNG Act,"[Sen. Udall, Mark [D-CO], Sen. Begich, Mark [D-AK], Sen. Heitkamp, Heidi [D-ND]]",NA
7084,Community Protection Act of 2014,"[Sen. Heller, Dean [R-NV], None, Sen. Pryor, Mark L. [D-AR]]","Requires the Secretary of the Interior or the Secretary of Commerce, at the time a proposed rule to designate critical habitat is published, to publish and make available for public comment a draft quantitative analysis that examines the economic effects of the proposed designation, including any effects on possible uses of land and property values, employment, and state and local revenues."
7085,HHEATT Act of 2014,"[Sen. Klobuchar, Amy [D-MN], Sen. Hoeven, John [R-ND], Sen. Franken, Al [D-MN], Sen. Baldwin, Tammy [D-WI], Sen. Johnson, Tim [D-SD]]","Defines ""covered emergency exemption"" as one issued or extended between February 5, 2014, and the date of enactment of this Act to effect regulatory relief for commercial motor vehicle operations directly assisting the delivery of propane and home heating fuels."
7086,Reliable Home Heating Act,"[Sen. Thune, John [R-SD], Sen. Klobuchar, Amy [D-MN], Sen. Coats, Daniel [R-IN], Sen. Blunt, Roy [R-MO], Sen. Hoeven, John [R-ND], Sen. Ayotte, Kelly [R-NH], Sen. Chambliss, Saxby [R-GA], Sen. Fischer, Deb [R-NE], Sen. McCaskill, Claire [D-MO], Sen. Johnson, Tim [D-SD]]","Defines the term ""residential heating fuel"" to include heating oil, natural gas, and propane."
7088,American Natural Gas Security and Consumer Protection Act,"[Sen. Markey, Edward J. [D-MA]]","Requires the Secretary to issue an environmental impact statement (EIS) under the National Environmental Policy Act of 1969 on such an order, including by analyzing the impacts of extraction of exported natural gas on the environment in communities where the natural gas is extracted."
7089,Supplemental Security Income Restoration Act of 2014,"[Sen. Schatz, Brian [D-HI], None, Sen. Brown, Sherrod [D-OH]]","Increases from: (1) $780 to $4,284 (similarly increased) the first amount of earned income similarly excluded (including for a blind or disabled individual [or spouse] under age 65), (2) $3,000 to $15,000 in calendar year 2015 (increased for inflation) the resource limit for couples, and (3) $2,000 to $10,000 in calendar year 2015 (similarly increased) for individuals without a spouse."
7090,Responsible Electronics Recycling Act,"[Sen. Whitehouse, Sheldon [D-RI]]","Defines ""restricted electronic waste"" to include electronic equipment (excluding parts of a motor vehicle), such as computers, televisions, printers, copiers, video game systems, telephones, and similar used electronic products, that contain cathode ray tubes, batteries, switches, and other parts containing lead, cadmium, mercury, organic solvents, hexavalent chromium, beryllium, or other toxic ingredients."
7091,21st Century Veterans Benefits Delivery Act,"[Sen. Heller, Dean [R-NV], Sen. Casey, Robert P., Jr. [D-PA], Sen. Moran, Jerry [R-KS], Sen. Heinrich, Martin [D-NM], Sen. Vitter, David [R-LA], Sen. Tester, Jon [D-MT], Sen. Murkowski, Lisa [R-AK], Sen. Warren, Elizabeth [D-MA], Sen. Cardin, Benjamin L. [D-MD], Sen. Klobuchar, Amy [D-MN], Sen. Walsh, John E. [D-MT], Sen. Toomey, Pat [R-PA], Sen. Thune, John [R-SD], Sen. Roberts, Pat [R-KS], Sen. Pryor, Mark L. [D-AR], Sen. Blumenthal, Richard [D-CT], Sen. Bennet, Michael F. [D-CO], Sen. Hagan, Kay [D-NC], Sen. Landrieu, Mary L. [D-LA], Sen. Begich, Mark [D-AK], Sen. Collins, Susan M. [R-ME], Sen. Durbin, Richard [D-IL]]","Revises or adds provisions concerning the practices of VA regional offices, including by:"
7092,Opioid Overdose Reduction Act of 2014,"[Sen. Markey, Edward J. [D-MA], Sen. Ayotte, Kelly [R-NH], Sen. Rockefeller, John D., IV [D-WV], Sen. Kaine, Tim [D-VA]]",Makes such exemptions inapplicable if the harm was caused by gross negligence or reckless misconduct.
7093,Civil Liberties Protection Act,"[Sen. Walsh, John E. [D-MT]]",Authorizes such production order applications for certain related preparation activities.
7094,Vessel Incidental Discharge Act,"[Sen. Begich, Mark [D-AK], Sen. Rubio, Marco [R-FL], Sen. Ayotte, Kelly [R-NH], Sen. Blunt, Roy [R-MO], Sen. Boozman, John [R-AR], Sen. Casey, Robert P., Jr. [D-PA], Sen. Cochran, Thad [R-MS], Sen. Collins, Susan M. [R-ME], Sen. Hirono, Mazie K. [D-HI], Sen. Landrieu, Mary L. [D-LA], Sen. McCaskill, Claire [D-MO], Sen. Markey, Edward J. [D-MA], Sen. Murkowski, Lisa [R-AK], Sen. Nelson, Bill [D-FL], Sen. Pryor, Mark L. [D-AR], Sen. Rockefeller, John D., IV [D-WV], Sen. Schatz, Brian [D-HI], Sen. Thune, John [R-SD], Sen. Toomey, Pat [R-PA], Sen. Vitter, David [R-LA], Sen. Warren, Elizabeth [D-MA], Sen. Wicker, Roger F. [R-MS], Sen. Sessions, Jeff [R-AL], Sen. King, Angus S. Jr. [I-ME], Sen. Shelby, Richard C. [R-AL], Sen. Chambliss, Saxby [R-GA], Sen. Graham, Lindsey [R-SC], Sen. Shaheen, Jeanne [D-NH], Sen. Isakson, Johnny [R-GA], Sen. Warner, Mark R. [D-VA], Sen. Coons, Christopher A. [D-DE], Sen. Manchin, Joe, III [D-WV], Sen. Hagan, Kay [D-NC], None, Sen. Rubio, Marco [R-FL], None, Sen. Wicker, Roger F. [R-MS], None, Sen. Wicker, Roger F. [R-MS], None, Sen. Wicker, Roger F. [R-MS]]","Deems the management requirements for a ballast water discharge incidental to the normal operation of a vessel to be those set forth in the final rule, ""Standards for Living Organisms in Ships' Ballast Water Discharged in U.S. Waters"" (March 23, 2012), as corrected (June 8, 2012) until the Secretary revises the ballast water performance standard or adopts a more stringent state standard pursuant to this Act."
7095,Veterans Health Care Access Received Closer to Home Act of 2014,"[Sen. King, Angus S. Jr. [I-ME], Sen. Tester, Jon [D-MT], None, Sen. Moran, Jerry [R-KS]]","Amends the Veterans' Mental Health and Other Care Improvements Act of 2008 to reauthorize a VA pilot program of contract care authority within specified Veterans Integrated Service Networks for the health care needs of veterans in highly rural areas who are enrolled in the VA annual patient enrollment system. Requires: (1) that medical appointments for veterans, under the pilot program, occur during the 30-day period beginning on the date that is 15 days after the appointment is requested, and (2) the Secretary of Veterans Affairs to ensure that eligible veterans are informed of the program."
7096,Freedom Through Energy Export Act,"[Sen. Begich, Mark [D-AK]]",Authorizes FERC to consider and act on an application for authorization for a liquefied natural gas terminal and related facilities determined necessary for the export of Alaska natural gas other than the Alaska natural gas transportation system.
7097,Responsible Unemployment Compensation Extension Act of 2014,"[Sen. Heller, Dean [R-NV], Sen. Collins, Susan M. [R-ME], Sen. Portman, Rob [R-OH], Sen. Murkowski, Lisa [R-AK], Sen. Coats, Daniel [R-IN], Sen. Ayotte, Kelly [R-NH], Sen. Kirk, Mark Steven [R-IL]]"," Amends the Assistance for Unemployed Workers and Struggling Families Act to extend until May 31, 2014, requirements that federal payments to states cover 100% of EUC."
7098,Yellowstone Community Education Fairness Act,"[Sen. Tester, Jon [D-MT], Sen. Walsh, John E. [D-MT]]",NA
7099,Sound Regulation Act of 2014,"[Sen. Coats, Daniel [R-IN], Sen. Inhofe, James M. [R-OK]]","Requires the Comptroller General (GAO), for purposes of congressional review, to: (1)  examine each agency cost-benefit analysis for compliance with the requirements of this Act, including the agency methodology for such analysis; (2) examine risk analysis pertaining to the cost-benefit analysis; and (3) examine and report on agency quadrennial regulatory reviews for consistency with the requirements of this Act."
7101,A bill to amend the Interstate Land Sales Full Disclosure Act to clarify how the Act applies to condominiums.,"[Sen. Schumer, Charles E. [D-NY], Sen. Heller, Dean [R-NV], Sen. Gillibrand, Kirsten E. [D-NY]]",NA
7102,A bill to clarify the application of certain leverage and risk-based requirements under the Dodd-Frank Wall Street Reform and Consumer Protection Act.,"[Sen. Collins, Susan M. [R-ME]]","Declares that the appropriate federal banking agencies shall not be required to subject to such minimum requirements any person, to the extent that person acts in its capacity as a regulated insurance entity, if it is regulated by a state insurance regulator or is a regulated foreign subsidiary (or a regulated foreign affiliate of such subsidiary) engaged in the business of insurance."
7103,General Aviation Pilot Protection Act of 2014,"[Sen. Roberts, Pat [R-KS], Sen. Hatch, Orrin G. [R-UT], Sen. Tester, Jon [D-MT], Sen. Crapo, Mike [R-ID], Sen. Murkowski, Lisa [R-AK], Sen. Begich, Mark [D-AK], Sen. Risch, James E. [R-ID], Sen. Inhofe, James M. [R-OK], Sen. Enzi, Michael B. [R-WY], Sen. Toomey, Pat [R-PA], Sen. Pryor, Mark L. [D-AR], Sen. Donnelly, Joe [D-IN], Sen. Ayotte, Kelly [R-NH], Sen. Wicker, Roger F. [R-MS], Sen. Landrieu, Mary L. [D-LA], Sen. Portman, Rob [R-OH], Sen. Fischer, Deb [R-NE], Sen. Johanns, Mike [R-NE], None, Sen. Boozman, John [R-AR]]","Defines ""covered aircraft"" as an aircraft that: (1) is not authorized under federal law to carry more than six occupants, and (2) has a maximum certificated takeoff weight of no more than 6,000 pounds."
7104,National Park Access Act,"[Sen. Alexander, Lamar [R-TN], Sen. McCain, John [R-AZ], Sen. Bennet, Michael F. [D-CO], Sen. Lee, Mike [R-UT], Sen. Hatch, Orrin G. [R-UT], Sen. Corker, Bob [R-TN], None, Sen. Flake, Jeff [R-AZ]]",National Park Access Act - Requires the National Park Service to refund to each state all of the funds that it used to reopen and temporarily operate a unit of the National Park System during the government shutdown in October 2013 in which there was a lapse in appropriations for that unit.
7105,Gun-Owner Registration Information Protection Act,"[Sen. Cochran, Thad [R-MS], Sen. Inhofe, James M. [R-OK], Sen. Moran, Jerry [R-KS], Sen. Roberts, Pat [R-KS], Sen. Burr, Richard [R-NC], Sen. Cornyn, John [R-TX], Sen. Collins, Susan M. [R-ME], Sen. Hatch, Orrin G. [R-UT], Sen. Enzi, Michael B. [R-WY], Sen. Rubio, Marco [R-FL], Sen. Wicker, Roger F. [R-MS], Sen. Crapo, Mike [R-ID], Sen. Johanns, Mike [R-NE], Sen. Risch, James E. [R-ID], Sen. Vitter, David [R-LA]]",NA
7106,FAIR Act of 2014,"[Sen. Barrasso, John [R-WY], Sen. Boozman, John [R-AR], Sen. Coats, Daniel [R-IN], Sen. Cochran, Thad [R-MS], Sen. Inhofe, James M. [R-OK], Sen. Johanns, Mike [R-NE], Sen. Roberts, Pat [R-KS], Sen. Vitter, David [R-LA], Sen. Wicker, Roger F. [R-MS], Sen. Johnson, Ron [R-WI], Sen. Moran, Jerry [R-KS], Sen. Sessions, Jeff [R-AL], Sen. Blunt, Roy [R-MO], Sen. Cornyn, John [R-TX], Sen. Enzi, Michael B. [R-WY], None, Sen. Fischer, Deb [R-NE]]",NA
7107,Simplifying Access to Student Loan Information Act of 2014,"[Sen. Shaheen, Jeanne [D-NH], Sen. Rockefeller, John D., IV [D-WV]]","Requires that such information: (1) be placed in the National Student Loan Data System (System), and (2) allow for the electronic exchange of data between the borrowers of those loans and the System. (The System currently contains information regarding loans made, insured, or guaranteed under the Federal Family Education Loan program and loans made under the William D. Ford Federal Direct Loan and Federal Perkins Loan programs.)"
7108,National STEM Education Tax Incentive for Teachers Act of 2014,"[Sen. Gillibrand, Kirsten E. [D-NY]]",NA
7109,Government Reports Elimination Act of 2014,"[Sen. McCaskill, Claire [D-MO], Sen. Feinstein, Dianne [D-CA], None, Sen. Warner, Mark R. [D-VA]]",NA
7110,Medicare SGR Repeal and Beneficiary Access Improvement Act of 2014,"[Sen. Wyden, Ron [D-OR]]","Directs the Medicare Payment Advisory Commission (MEDPAC) to report to Congress on the relationship between: (1) physician and other health professional utilization and expenditures (and their rate of increase) of items and services for which Medicare payment is made, and (2) total utilization and expenditures (and their rate of increase) under Medicare parts A (Hospital Insurance), B (Supplementary Medical Insurance), and D (Voluntary Prescription Drug Benefit Program). Requires a separate report on the 2014-2018 update to physicians' services under Medicare "
7111,Yuma Crossing National Heritage Area Reauthorization Act,"[Sen. McCain, John [R-AZ]]",NA
7112,Natural Gas Gathering Enhancement Act,"[Sen. Barrasso, John [R-WY], Sen. Hoeven, John [R-ND], Sen. Enzi, Michael B. [R-WY]]","Defines ""gas gathering line and associated field compression unit"" as: (1) a pipeline installed to transport natural gas production associated with one or more wells drilled and completed to produce crude oil; and (2) if necessary, a compressor to raise the pressure of that transported natural gas to higher pressures suitable to enable the gas to flow into pipelines and other facilities."
